co_reg_geo,no_reg_geo,ano,variavel,saude_categoria,saude_subcategoria,valor
4.0,Sul,2010,Leitos de Internação,Outras Especialidades,Total,8525.0
4.0,Sul,2010,Leitos de Internação,Pediátrico,Total,9796.0
4.0,Sul,2011,Leitos de Internação,Cirúrgicos,Total,18829.0
4.0,Sul,2011,Leitos de Internação,Clínicos,Total,27449.0
4.0,Sul,2011,Leitos de Internação,Hospital/DIA,Total,1273.0
4.0,Sul,2011,Leitos de Internação,Obstétrico,Total,8897.0
4.0,Sul,2011,Leitos de Internação,Outras Especialidades,Total,8791.0
4.0,Sul,2011,Leitos de Internação,Pediátrico,Total,9329.0
4.0,Sul,2012,Leitos de Internação,Cirúrgicos,Total,18968.0
4.0,Sul,2012,Leitos de Internação,Clínicos,Total,27402.0
4.0,Sul,2012,Leitos de Internação,Hospital/DIA,Total,1228.0
4.0,Sul,2012,Leitos de Internação,Obstétrico,Total,8747.0
4.0,Sul,2012,Leitos de Internação,Outras Especialidades,Total,9297.0
4.0,Sul,2012,Leitos de Internação,Pediátrico,Total,8956.0
4.0,Sul,2013,Leitos de Internação,Cirúrgicos,Total,19098.0
4.0,Sul,2013,Leitos de Internação,Clínicos,Total,28340.0
4.0,Sul,2013,Leitos de Internação,Hospital/DIA,Total,1331.0
4.0,Sul,2013,Leitos de Internação,Obstétrico,Total,8545.0
4.0,Sul,2013,Leitos de Internação,Outras Especialidades,Total,9078.0
4.0,Sul,2013,Leitos de Internação,Pediátrico,Total,8544.0
4.0,Sul,2014,Leitos de Internação,Cirúrgicos,Total,19159.0
4.0,Sul,2014,Leitos de Internação,Clínicos,Total,28623.0
4.0,Sul,2014,Leitos de Internação,Hospital/DIA,Total,1417.0
4.0,Sul,2014,Leitos de Internação,Obstétrico,Total,8400.0
4.0,Sul,2014,Leitos de Internação,Outras Especialidades,Total,9304.0
4.0,Sul,2014,Leitos de Internação,Pediátrico,Total,8346.0
4.0,Sul,2015,Leitos de Internação,Cirúrgicos,Total,19325.0
4.0,Sul,2015,Leitos de Internação,Clínicos,Total,28463.0
4.0,Sul,2015,Leitos de Internação,Hospital/DIA,Total,1446.0
4.0,Sul,2015,Leitos de Internação,Obstétrico,Total,8301.0
4.0,Sul,2015,Leitos de Internação,Outras Especialidades,Total,8905.0
4.0,Sul,2015,Leitos de Internação,Pediátrico,Total,7925.0
4.0,Sul,2016,Leitos de Internação,Cirúrgicos,Total,19222.0
4.0,Sul,2016,Leitos de Internação,Clínicos,Total,27985.0
4.0,Sul,2016,Leitos de Internação,Hospital/DIA,Total,1491.0
4.0,Sul,2016,Leitos de Internação,Obstétrico,Total,8163.0
4.0,Sul,2016,Leitos de Internação,Outras Especialidades,Total,9159.0
4.0,Sul,2016,Leitos de Internação,Pediátrico,Total,7686.0
4.0,Sul,2017,Leitos de Internação,Cirúrgicos,Total,19229.0
4.0,Sul,2017,Leitos de Internação,Clínicos,Total,28342.0
4.0,Sul,2017,Leitos de Internação,Hospital/DIA,Total,1597.0
4.0,Sul,2017,Leitos de Internação,Obstétrico,Total,7932.0
4.0,Sul,2017,Leitos de Internação,Outras Especialidades,Total,8861.0
4.0,Sul,2017,Leitos de Internação,Pediátrico,Total,7456.0
4.0,Sul,2018,Leitos de Internação,Cirúrgicos,Total,19231.0
4.0,Sul,2018,Leitos de Internação,Clínicos,Total,28692.0
4.0,Sul,2018,Leitos de Internação,Hospital/DIA,Total,1608.0
4.0,Sul,2018,Leitos de Internação,Obstétrico,Total,7783.0
4.0,Sul,2018,Leitos de Internação,Outras Especialidades,Total,8682.0
4.0,Sul,2018,Leitos de Internação,Pediátrico,Total,7197.0
4.0,Sul,2019,Leitos de Internação,Cirúrgicos,Total,19308.0
4.0,Sul,2019,Leitos de Internação,Clínicos,Total,28435.0
4.0,Sul,2019,Leitos de Internação,Hospital/DIA,Total,1585.0
4.0,Sul,2019,Leitos de Internação,Obstétrico,Total,7543.0
4.0,Sul,2019,Leitos de Internação,Outras Especialidades,Total,9007.0
4.0,Sul,2019,Leitos de Internação,Pediátrico,Total,6998.0
4.0,Sul,2020,Leitos de Internação,Cirúrgicos,Total,17595.0
4.0,Sul,2020,Leitos de Internação,Clínicos,Total,30888.0
4.0,Sul,2020,Leitos de Internação,Hospital/DIA,Total,1717.0
4.0,Sul,2020,Leitos de Internação,Obstétrico,Total,7142.0
4.0,Sul,2020,Leitos de Internação,Outras Especialidades,Total,9238.0
4.0,Sul,2020,Leitos de Internação,Pediátrico,Total,6617.0
4.0,Sul,2021,Leitos de Internação,Cirúrgicos,Total,17662.0
4.0,Sul,2021,Leitos de Internação,Clínicos,Total,30249.0
4.0,Sul,2021,Leitos de Internação,Hospital/DIA,Total,1536.0
4.0,Sul,2021,Leitos de Internação,Obstétrico,Total,6943.0
4.0,Sul,2021,Leitos de Internação,Outras Especialidades,Total,9121.0
4.0,Sul,2021,Leitos de Internação,Pediátrico,Total,6222.0
4.0,Sul,2022,Leitos de Internação,Cirúrgicos,Total,18335.0
4.0,Sul,2022,Leitos de Internação,Clínicos,Total,29829.0
4.0,Sul,2022,Leitos de Internação,Hospital/DIA,Total,1650.0
4.0,Sul,2022,Leitos de Internação,Obstétrico,Total,6867.0
4.0,Sul,2022,Leitos de Internação,Outras Especialidades,Total,9125.0
4.0,Sul,2022,Leitos de Internação,Pediátrico,Total,6256.0
4.0,Sul,2023,Leitos de Internação,Cirúrgicos,Total,18983.0
4.0,Sul,2023,Leitos de Internação,Clínicos,Total,29534.0
4.0,Sul,2023,Leitos de Internação,Hospital/DIA,Total,1631.0
4.0,Sul,2023,Leitos de Internação,Obstétrico,Total,6714.0
4.0,Sul,2023,Leitos de Internação,Outras Especialidades,Total,8691.0
4.0,Sul,2023,Leitos de Internação,Pediátrico,Total,6121.0
5.0,Centro-Oeste,2005,Leitos de Internação,Cirúrgicos,Total,8928.0
5.0,Centro-Oeste,2005,Leitos de Internação,Clínicos,Total,11039.0
5.0,Centro-Oeste,2005,Leitos de Internação,Hospital/DIA,Total,195.0
5.0,Centro-Oeste,2005,Leitos de Internação,Obstétrico,Total,5147.0
5.0,Centro-Oeste,2005,Leitos de Internação,Outras Especialidades,Total,3832.0
5.0,Centro-Oeste,2005,Leitos de Internação,Pediátrico,Total,5387.0
5.0,Centro-Oeste,2006,Leitos de Internação,Cirúrgicos,Total,9051.0
5.0,Centro-Oeste,2006,Leitos de Internação,Clínicos,Total,11097.0
5.0,Centro-Oeste,2006,Leitos de Internação,Hospital/DIA,Total,433.0
5.0,Centro-Oeste,2006,Leitos de Internação,Obstétrico,Total,5127.0
5.0,Centro-Oeste,2006,Leitos de Internação,Outras Especialidades,Total,3791.0
5.0,Centro-Oeste,2006,Leitos de Internação,Pediátrico,Total,5383.0
5.0,Centro-Oeste,2007,Leitos de Internação,Cirúrgicos,Total,8930.0
5.0,Centro-Oeste,2007,Leitos de Internação,Clínicos,Total,10724.0
5.0,Centro-Oeste,2007,Leitos de Internação,Hospital/DIA,Total,439.0
5.0,Centro-Oeste,2007,Leitos de Internação,Obstétrico,Total,4909.0
5.0,Centro-Oeste,2007,Leitos de Internação,Outras Especialidades,Total,3774.0
5.0,Centro-Oeste,2007,Leitos de Internação,Pediátrico,Total,5190.0
5.0,Centro-Oeste,2008,Leitos de Internação,Cirúrgicos,Total,8987.0
5.0,Centro-Oeste,2008,Leitos de Internação,Clínicos,Total,10727.0
5.0,Centro-Oeste,2008,Leitos de Internação,Hospital/DIA,Total,437.0
5.0,Centro-Oeste,2008,Leitos de Internação,Obstétrico,Total,4846.0
5.0,Centro-Oeste,2008,Leitos de Internação,Outras Especialidades,Total,3593.0
5.0,Centro-Oeste,2008,Leitos de Internação,Pediátrico,Total,5204.0
5.0,Centro-Oeste,2009,Leitos de Internação,Cirúrgicos,Total,8745.0
5.0,Centro-Oeste,2009,Leitos de Internação,Clínicos,Total,10622.0
5.0,Centro-Oeste,2009,Leitos de Internação,Hospital/DIA,Total,425.0
5.0,Centro-Oeste,2009,Leitos de Internação,Obstétrico,Total,4606.0
5.0,Centro-Oeste,2009,Leitos de Internação,Outras Especialidades,Total,3645.0
5.0,Centro-Oeste,2009,Leitos de Internação,Pediátrico,Total,5000.0
5.0,Centro-Oeste,2010,Leitos de Internação,Cirúrgicos,Total,8897.0
5.0,Centro-Oeste,2010,Leitos de Internação,Clínicos,Total,10776.0
5.0,Centro-Oeste,2010,Leitos de Internação,Hospital/DIA,Total,409.0
5.0,Centro-Oeste,2010,Leitos de Internação,Obstétrico,Total,4478.0
5.0,Centro-Oeste,2010,Leitos de Internação,Outras Especialidades,Total,3642.0
5.0,Centro-Oeste,2010,Leitos de Internação,Pediátrico,Total,4898.0
5.0,Centro-Oeste,2011,Leitos de Internação,Cirúrgicos,Total,9014.0
5.0,Centro-Oeste,2011,Leitos de Internação,Clínicos,Total,10650.0
5.0,Centro-Oeste,2011,Leitos de Internação,Hospital/DIA,Total,494.0
5.0,Centro-Oeste,2011,Leitos de Internação,Obstétrico,Total,4400.0
5.0,Centro-Oeste,2011,Leitos de Internação,Outras Especialidades,Total,3680.0
5.0,Centro-Oeste,2011,Leitos de Internação,Pediátrico,Total,4802.0
5.0,Centro-Oeste,2012,Leitos de Internação,Cirúrgicos,Total,9058.0
5.0,Centro-Oeste,2012,Leitos de Internação,Clínicos,Total,10576.0
5.0,Centro-Oeste,2012,Leitos de Internação,Hospital/DIA,Total,503.0
5.0,Centro-Oeste,2012,Leitos de Internação,Obstétrico,Total,4405.0
5.0,Centro-Oeste,2012,Leitos de Internação,Outras Especialidades,Total,3616.0
5.0,Centro-Oeste,2012,Leitos de Internação,Pediátrico,Total,4735.0
5.0,Centro-Oeste,2013,Leitos de Internação,Cirúrgicos,Total,9159.0
5.0,Centro-Oeste,2013,Leitos de Internação,Clínicos,Total,10698.0
5.0,Centro-Oeste,2013,Leitos de Internação,Hospital/DIA,Total,471.0
5.0,Centro-Oeste,2013,Leitos de Internação,Obstétrico,Total,4356.0
5.0,Centro-Oeste,2013,Leitos de Internação,Outras Especialidades,Total,3612.0
5.0,Centro-Oeste,2013,Leitos de Internação,Pediátrico,Total,4612.0
5.0,Centro-Oeste,2014,Leitos de Internação,Cirúrgicos,Total,9253.0
5.0,Centro-Oeste,2014,Leitos de Internação,Clínicos,Total,10868.0
5.0,Centro-Oeste,2014,Leitos de Internação,Hospital/DIA,Total,483.0
5.0,Centro-Oeste,2014,Leitos de Internação,Obstétrico,Total,4394.0
5.0,Centro-Oeste,2014,Leitos de Internação,Outras Especialidades,Total,3689.0
5.0,Centro-Oeste,2014,Leitos de Internação,Pediátrico,Total,4486.0
5.0,Centro-Oeste,2015,Leitos de Internação,Cirúrgicos,Total,9383.0
5.0,Centro-Oeste,2015,Leitos de Internação,Clínicos,Total,10877.0
5.0,Centro-Oeste,2015,Leitos de Internação,Hospital/DIA,Total,494.0
5.0,Centro-Oeste,2015,Leitos de Internação,Obstétrico,Total,4266.0
5.0,Centro-Oeste,2015,Leitos de Internação,Outras Especialidades,Total,3630.0
5.0,Centro-Oeste,2015,Leitos de Internação,Pediátrico,Total,4462.0
5.0,Centro-Oeste,2016,Leitos de Internação,Cirúrgicos,Total,9295.0
5.0,Centro-Oeste,2016,Leitos de Internação,Clínicos,Total,11068.0
5.0,Centro-Oeste,2016,Leitos de Internação,Hospital/DIA,Total,460.0
5.0,Centro-Oeste,2016,Leitos de Internação,Obstétrico,Total,4159.0
5.0,Centro-Oeste,2016,Leitos de Internação,Outras Especialidades,Total,3578.0
5.0,Centro-Oeste,2016,Leitos de Internação,Pediátrico,Total,4384.0
5.0,Centro-Oeste,2017,Leitos de Internação,Cirúrgicos,Total,10644.0
5.0,Centro-Oeste,2017,Leitos de Internação,Clínicos,Total,12181.0
5.0,Centro-Oeste,2017,Leitos de Internação,Hospital/DIA,Total,558.0
5.0,Centro-Oeste,2017,Leitos de Internação,Obstétrico,Total,4723.0
5.0,Centro-Oeste,2017,Leitos de Internação,Outras Especialidades,Total,4292.0
5.0,Centro-Oeste,2017,Leitos de Internação,Pediátrico,Total,4498.0
5.0,Centro-Oeste,2018,Leitos de Internação,Cirúrgicos,Total,10727.0
5.0,Centro-Oeste,2018,Leitos de Internação,Clínicos,Total,12234.0
5.0,Centro-Oeste,2018,Leitos de Internação,Hospital/DIA,Total,692.0
5.0,Centro-Oeste,2018,Leitos de Internação,Obstétrico,Total,4632.0
5.0,Centro-Oeste,2018,Leitos de Internação,Outras Especialidades,Total,4415.0
5.0,Centro-Oeste,2018,Leitos de Internação,Pediátrico,Total,4252.0
5.0,Centro-Oeste,2019,Leitos de Internação,Cirúrgicos,Total,10801.0
5.0,Centro-Oeste,2019,Leitos de Internação,Clínicos,Total,12310.0
5.0,Centro-Oeste,2019,Leitos de Internação,Hospital/DIA,Total,720.0
5.0,Centro-Oeste,2019,Leitos de Internação,Obstétrico,Total,4639.0
5.0,Centro-Oeste,2019,Leitos de Internação,Outras Especialidades,Total,4084.0
5.0,Centro-Oeste,2019,Leitos de Internação,Pediátrico,Total,4273.0
5.0,Centro-Oeste,2020,Leitos de Internação,Cirúrgicos,Total,10678.0
5.0,Centro-Oeste,2020,Leitos de Internação,Clínicos,Total,14331.0
5.0,Centro-Oeste,2020,Leitos de Internação,Hospital/DIA,Total,826.0
5.0,Centro-Oeste,2020,Leitos de Internação,Obstétrico,Total,4744.0
5.0,Centro-Oeste,2020,Leitos de Internação,Outras Especialidades,Total,4388.0
5.0,Centro-Oeste,2020,Leitos de Internação,Pediátrico,Total,4077.0
5.0,Centro-Oeste,2021,Leitos de Internação,Cirúrgicos,Total,10921.0
5.0,Centro-Oeste,2021,Leitos de Internação,Clínicos,Total,14922.0
5.0,Centro-Oeste,2021,Leitos de Internação,Hospital/DIA,Total,903.0
5.0,Centro-Oeste,2021,Leitos de Internação,Obstétrico,Total,4698.0
5.0,Centro-Oeste,2021,Leitos de Internação,Outras Especialidades,Total,4601.0
5.0,Centro-Oeste,2021,Leitos de Internação,Pediátrico,Total,3973.0
5.0,Centro-Oeste,2022,Leitos de Internação,Cirúrgicos,Total,11381.0
5.0,Centro-Oeste,2022,Leitos de Internação,Clínicos,Total,14178.0
5.0,Centro-Oeste,2022,Leitos de Internação,Hospital/DIA,Total,944.0
5.0,Centro-Oeste,2022,Leitos de Internação,Obstétrico,Total,4694.0
5.0,Centro-Oeste,2022,Leitos de Internação,Outras Especialidades,Total,4684.0
5.0,Centro-Oeste,2022,Leitos de Internação,Pediátrico,Total,4215.0
5.0,Centro-Oeste,2023,Leitos de Internação,Cirúrgicos,Total,11669.0
5.0,Centro-Oeste,2023,Leitos de Internação,Clínicos,Total,13727.0
5.0,Centro-Oeste,2023,Leitos de Internação,Hospital/DIA,Total,1180.0
5.0,Centro-Oeste,2023,Leitos de Internação,Obstétrico,Total,4648.0
5.0,Centro-Oeste,2023,Leitos de Internação,Outras Especialidades,Total,4563.0
5.0,Centro-Oeste,2023,Leitos de Internação,Pediátrico,Total,4178.0
